TEAM,All Time Tenure,Current Tenure
Alabama,8,4
Houston,34,9
Kansas,30,20
Purdue,19,18
Arizona,2,2
Marquette,14,3
Texas,1,1
UCLA,20,4
Baylor,21,20
Gonzaga,24,24
Kansas St.,1,1
Xavier,19,1
Connecticut,23,5
Indiana,10,2
Tennessee,36,8
Virginia,17,14
Duke,1,1
Miami FL,39,12
Saint Mary's,22,22
San Diego St.,6,6
Creighton,29,13
Iowa St.,7,2
Kentucky,34,14
TCU,20,7
Michigan St.,28,28
Missouri,4,1
Northwestern,10,10
Texas A&M,16,4
Arkansas,13,4
Iowa,27,13
Maryland,16,1
Memphis,5,5
Auburn,28,9
Florida Atlantic,5,5
Illinois,10,6
West Virginia,31,16
Boise St.,13,13
Penn St.,4,2
USC,12,10
Utah St.,8,2
Arizona St.,10,8
Mississippi St.,8,1
Nevada,27,4
North Carolina St.,9,6
Pittsburgh,14,5
Providence,17,12
College of Charleston,11,2
Drake,5,5
Oral Roberts,6,6
VCU,19,6
Furman,6,6
Iona,39,3
Kent St.,12,12
Louisiana Lafayette,25,13
Grand Canyon,11,3
Kennesaw St.,4,4
Montana St.,4,4
UC Santa Barbara,10,6
Colgate,12,12
Princeton,12,12
UNC Asheville,5,5
Vermont,11,11
Fairleigh Dickinson,22,1
Howard,4,4
Northern Kentucky,13,3
Southeast Missouri St.,3,3
Texas A&M Corpus Chris,2,2
Texas Southern,21,5