YEAR,CONFERENCE,B ADJ EM,B ADJ O,B ADJ D,BARTHAG,WAB,CHAMP COUNT,FINALS COUNT,FINAL 4 COUNT,ELITE 8 COUNT,SWEET 16 COUNT
2022,B12,18.3,109.8,91.5,0.8907,3.2,1,1,1,1,3
2022,B10,14.2,110.8,96.6,0.8278,0,0,0,0,0,2
2022,SEC,13.4,108.4,95,0.82,-0.2,0,0,0,1,1
2022,BE,12,108.4,96.4,0.7934,-0.6,0,0,1,1,1
2022,ACC,11.2,109.2,98,0.7765,-2.1,0,1,2,2,3
2022,P12,9.8,106.8,97,0.7522,-2.9,0,0,0,0,2
2022,AMER,8.8,105.4,96.6,0.7305,-3.5,0,0,0,0,0
2022,MWC,7.3,105.1,97.8,0.6957,-3.7,0,0,0,0,0
2022,WCC,6.4,105.1,98.7,0.6735,-4.4,0,0,0,0,1
2021,B10,17.6,111.3,93.7,0.8784,1.6,0,0,0,1,1
2021,B12,14.4,109.2,94.8,0.8364,0.4,1,1,1,1,1
2021,P12,13.9,109.3,95.4,0.8271,-0.4,0,0,1,3,4
2021,SEC,13.6,108.4,94.8,0.8236,-0.7,0,0,0,1,2
2021,BE,13.2,108.9,95.7,0.8146,-0.9,0,0,0,0,2
2021,ACC,12.3,108.9,96.6,0.7988,-1.1,0,0,0,0,2
2021,WCC,9.2,105.6,96.4,0.74,-2.1,0,1,1,1,1
2021,AMER,8,103.7,95.7,0.7166,-2.8,0,0,1,1,1
2019,B10,16.7,111.1,94.4,0.8681,1.8,0,0,1,2,3
2019,B12,16.6,111,94.4,0.8662,2.2,0,1,1,1,1
2019,ACC,15.7,110.7,95,0.8532,1,1,1,1,2,5
2019,SEC,15.2,111.5,96.3,0.8428,0.7,0,0,1,2,4
2019,BE,10.9,110,99.1,0.7683,-1.5,0,0,0,0,0
2019,AMER,8.7,106.9,98.2,0.7269,-2.9,0,0,0,0,1
2019,P12,6.6,106.9,100.3,0.6765,-4.7,0,0,0,0,1
2019,WCC,5.9,106.8,100.9,0.6592,-5,0,0,0,1,1
2018,B12,18,114.5,96.5,0.8774,2.1,0,0,1,2,4
2018,BE,17.4,114.8,97.4,0.8696,1.6,1,1,1,1,1
2018,ACC,15.2,112.3,97.1,0.8427,0.5,0,0,0,2,4
2018,SEC,14.8,112.1,97.3,0.8363,0.1,0,0,0,0,2
2018,B10,14.7,111.9,97.2,0.8351,-0.5,0,1,1,1,2
2018,P12,8.6,109.5,100.9,0.7204,-3.6,0,0,0,0,0
2018,AMER,5.7,106.4,100.7,0.653,-4.4,0,0,0,0,0
2018,MWC,5,107.3,102.3,0.632,-6.2,0,0,0,0,1
2018,MVC,3.8,104.2,100.4,0.605,-6.5,0,0,1,1,1
2018,WCC,2.5,106.5,104,0.568,-7.6,0,0,0,0,1
2017,B12,18.8,113.9,95.1,0.8893,2.5,0,0,0,1,3
2017,ACC,17.7,114.3,96.6,0.873,1.9,1,1,1,1,1
2017,BE,14.9,112.5,97.6,0.8368,0.6,0,0,0,1,2
2017,B10,14,110.3,96.3,0.827,0,0,0,0,0,3
2017,SEC,12.7,109.5,96.8,0.8053,-1.2,0,0,1,3,3
2017,P12,9.6,109.4,99.8,0.7427,-2.6,0,0,1,1,3
2017,AMER,7.3,105.9,98.6,0.6959,-4.5,0,0,0,0,0
2017,A10,4.2,105.1,100.9,0.6171,-6.2,0,0,0,0,0
2017,WCC,4,105.3,101.3,0.6105,-5.8,0,1,1,1,1
2016,B12,17.4,112.8,95.4,0.873,2.3,0,0,1,2,3
2016,ACC,15.6,113.1,97.5,0.8462,0.7,0,1,2,4,6
2016,BE,13.6,110.5,96.9,0.8176,0,1,1,1,1,1
2016,P12,13.3,111.1,97.8,0.811,-0.3,0,0,0,1,1
2016,SEC,12,109.6,97.6,0.791,-1.9,0,0,0,0,1
2016,B10,11.4,110.1,98.7,0.7802,-1.7,0,0,0,0,3
2016,AMER,7.1,106.4,99.3,0.688,-4.4,0,0,0,0,0
2016,A10,6.5,107.2,100.7,0.6734,-4.7,0,0,0,0,0
2016,MWC,3.2,104.6,101.4,0.5884,-6.7,0,0,0,0,0
2015,WCC,3.1,106.5,103.4,0.5849,-6.9,0,0,0,0,1
2015,B12,16.3,109.9,93.6,0.864,1.7,0,0,0,0,2
2015,ACC,15.3,110.5,95.2,0.8475,0.5,1,1,1,3,4
2015,BE,14.9,110.6,95.7,0.8408,0.5,0,0,0,0,1
2015,B10,14.5,109.9,95.4,0.8354,-0.1,0,1,2,2,2
2015,SEC,11.8,107.7,95.9,0.7919,-1.6,0,0,1,1,1
2015,P12,10.8,107.5,96.7,0.7718,-1.9,0,0,0,1,3
2015,WCC,6.9,107.3,100.4,0.6812,-4.9,0,0,0,1,1
2015,A10,5.2,104,98.8,0.6429,-5.3,0,0,0,0,0
2015,AMER,3.8,102.6,98.8,0.6083,-5.7,0,0,0,0,0
2015,MVC,3.9,103.3,99.4,0.6072,-6.3,0,0,0,0,1
2014,B10,16,112.3,96.3,0.854,1.4,0,0,1,3,3
2014,B12,15.3,113.5,98.2,0.8413,1.3,0,0,0,0,2
2014,ACC,13.7,111.4,97.7,0.8185,-0.2,0,0,0,0,1
2014,BE,13.1,111.8,98.7,0.8071,-0.5,0,0,0,0,0
2014,P12,12.4,110.9,98.5,0.7957,-0.4,0,0,0,1,3
2014,SEC,11.3,109.5,98.2,0.7785,-1.7,0,1,2,2,3
2014,AMER,10,109.4,99.4,0.7506,-2.2,1,1,1,1,2
2014,A10,9.3,108.3,99,0.7368,-2.2,0,0,0,1,1
2014,WCC,6.8,109.8,103,0.6756,-4.7,0,0,0,0,0
2014,MWC,5.5,107.8,102.3,0.6465,-4.9,0,0,0,0,1
2013,B10,16.8,109.4,92.6,0.8714,1.4,0,1,1,2,4
2013,BE,14.6,107.6,93,0.8425,0.2,1,1,2,3,3
2013,P12,11.7,106.5,94.8,0.7932,-1.8,0,0,0,0,2
2013,ACC,11.7,107.1,95.4,0.7922,-1.6,0,0,0,1,2
2013,B12,11,106.1,95.1,0.7786,-1.7,0,0,0,0,1
2013,MWC,10.9,106.1,95.2,0.777,-1.4,0,0,0,0,0
2013,SEC,8.9,104.4,95.5,0.7347,-3.7,0,0,0,1,1
2013,A10,8.8,105.9,97.1,0.7311,-3.4,0,0,0,0,1
2013,MVC,7.7,105,97.3,0.7047,-4.4,0,0,1,1,1
2012,B10,15.3,110,94.7,0.8484,1.6,0,0,1,1,4
2012,B12,13.7,108.6,94.9,0.8237,0.4,0,1,1,2,2
2012,BE,12.6,107.8,95.2,0.807,0,0,0,1,2,4
2012,SEC,12.4,107.2,94.8,0.8047,-0.5,1,1,1,2,2
2012,ACC,10.7,106.3,95.6,0.773,-1.6,0,0,0,1,2
2012,MWC,8.8,105.8,97,0.7299,-1.9,0,0,0,0,0
2012,A10,8,105.8,97.8,0.7125,-3.5,0,0,0,0,1
2012,P12,6.7,104.1,97.4,0.6839,-4.4,0,0,0,0,0
2011,B10,17.7,112.5,94.8,0.8777,1.5,0,0,0,0,2
2011,BE,15.7,110.8,95.1,0.8529,0.8,1,1,1,1,2
2011,B12,13.5,109,95.5,0.8202,-0.4,0,0,0,1,1
2011,ACC,13.1,107.9,94.8,0.8158,-1,0,0,0,1,3
2011,P10,11.5,107.6,96.1,0.7857,-2.5,0,0,0,1,1
2011,SEC,10.4,106.7,96.3,0.7653,-2.6,0,0,1,2,2
2011,MWC,10.1,107.1,97,0.7572,-2.2,0,0,0,0,2
2011,CUSA,5.3,104.9,99.6,0.6449,-5.3,0,0,0,0,0
2011,A10,4.1,103.4,99.3,0.6165,-6.2,0,0,0,0,1
2011,MVC,3.5,103.2,99.7,0.5972,-6.8,0,0,0,0,0
2011,HORZ,3.5,103.9,100.4,0.5966,-6.9,0,1,1,1,1
2010,B12,17.4,111.9,94.5,0.8746,1.2,0,0,0,2,2
2010,ACC,16.5,109.2,92.7,0.8685,0.4,1,1,1,1,1
2010,BE,15.4,111,95.6,0.8479,-0.1,0,0,1,1,2
2010,B10,14,109.1,95.1,0.8287,-1.4,0,0,1,1,3
2010,SEC,12.9,108.4,95.5,0.8115,-1.8,0,0,0,2,2
2010,P10,11,106.9,95.9,0.7775,-3.7,0,0,0,0,1
2010,MVC,8.1,105.7,97.6,0.7149,-4.2,0,0,0,0,0
2010,A10,7.1,104.1,97,0.694,-4.5,0,0,0,0,1
2010,MVC,7,105.8,98.8,0.6875,-5.3,0,0,0,0,1
2010,CUSA,6,104.3,98.3,0.665,-6.2,0,0,0,0,0
2010,WAC,3.9,105.9,102,0.607,-7.1,0,0,0,0,0
2010,HORZ,3,103.5,100.5,0.5836,-7.4,0,1,1,1,1
2009,P10,16.1,110.8,94.7,0.8586,0.4,0,0,0,0,1
2009,ACC,15.8,110,94.2,0.856,0.8,1,1,1,1,2
2009,BE,15.3,109.6,94.3,0.8504,0.3,0,0,2,4,5
2009,B12,15,109.6,94.6,0.845,0.2,0,0,0,2,3
2009,B10,14.4,108.4,94,0.8375,0.4,0,1,1,1,2
2009,SEC,10.9,106.9,96,0.7767,-2.4,0,0,0,0,0
2009,MWC,9.4,106.4,97,0.7423,-3.5,0,0,0,0,0
2009,CUSA,6.1,104.5,98.4,0.6654,-5.5,0,0,0,0,1
2009,A10,5,104,99,0.638,-6,0,0,0,0,1
2008,B12,16.5,110.1,93.6,0.8658,0.7,1,1,1,2,2
2008,P10,16.6,111.1,94.5,0.8647,1.4,0,0,1,1,3
2008,ACC,15.7,110.1,94.4,0.8554,0.7,0,0,1,1,1
2008,BE,13.6,109,95.4,0.821,-0.6,0,0,0,1,3
2008,B10,13.1,107.1,94,0.8172,-1.2,0,0,0,0,2
2008,SEC,12.2,108.8,96.6,0.7966,-1.4,0,0,0,0,1
2008,MVC,8.3,105.6,97.3,0.7178,-4.2,0,0,0,0,0
2008,A10,7.5,106.1,98.6,0.7003,-4.2,0,0,0,1,1
2008,MWC,6.8,103.8,97,0.6842,-4.6,0,0,0,0,0
2008,CUSA,5.4,103.6,98.2,0.6481,-5.6,0,1,1,1,1