Name,Tlat,Tlon,Alat,Alon,champion
Virginia,38.0410576,-78.5054996,44.977753,-93.2650108,1
Texas Tech,33.59375255,-101.8995955,44.977753,-93.2650108,0
Gonzaga,47.6662634,-117.4030666,39.768403,-86.158068,0
Gonzaga,47.6662634,-117.4030666,33.4483771,-112.0740373,0
Butler,39.8407191,-86.17374943,39.768403,-86.158068,0
Butler,39.8407191,-86.17374943,29.7604267,-95.3698028,0
Memphis,35.1189387,-89.9372196,29.4241219,-98.4936282,0
Illinois,40.1019523,-88.2271615,38.6270025,-90.1994042,0
Georgia Tech,33.776033,-84.39884086,29.4241219,-98.4936282,0
Maryland,38.978174,-76.928451,33.7489954,-84.3879824,1
Florida,29.6328784,-82.34901329,33.7489954,-84.3879824,1
Florida,29.6328784,-82.34901329,39.768403,-86.158068,1
Florida,29.6328784,-82.34901329,39.768403,-86.158068,0
Michigan St.,42.7024238,-84.48032838,42.331427,-83.0457538,0
Michigan St.,42.7024238,-84.48032838,39.768403,-86.158068,1
Michigan St.,42.7024238,-84.48032838,40.7607793,-111.8910474,1
Connecticut,41.82175755,-72.24277536,29.4241219,-98.4936282,1
Connecticut,41.82175755,-72.24277536,27.7518284,-82.6267345,1
Connecticut,41.82175755,-72.24277536,32.735687,-97.1080656,1
Connecticut,41.82175755,-72.24277536,29.7604267,-95.3698028,1
Arizona,32.2287639,-110.9575209,44.977753,-93.2650108,0
Arizona,32.2287639,-110.9575209,39.768403,-86.158068,1
Arkansas,36.09352375,-94.17708979,47.6062095,-122.3320708,0
Arkansas,36.09352375,-94.17708979,35.2270869,-80.8431267,1
UNLV,36.0994481,-115.1442205,39.7392358,-104.990251,1
Seton Hall,40.7433314,-74.24689208,47.6062095,-122.3320708,0
Syracuse,43.01890185,-76.11918148,29.9510658,-90.0715323,1
Syracuse,43.01890185,-76.11918148,40.833989,-74.0970865,0
Syracuse,43.01890185,-76.11918148,29.9510658,-90.0715323,0
Houston,29.7207902,-95.34406271,47.6062095,-122.3320708,0
Houston,29.7207902,-95.34406271,35.0853336,-106.6055534,0
Louisville,38.2167565,-85.75725134,32.7766642,-96.7969879,1
Louisville,38.2167565,-85.75725134,39.768403,-86.158068,1
Louisville,38.2167565,-85.75725134,33.7489954,-84.3879824,1
Marquette,43.03888115,-87.93158327,33.7489954,-84.3879824,1
Marquette,43.03888115,-87.93158327,36.0726354,-79.7919754,0
North Carolina St.,36.037694,-79.035584,35.0853336,-106.6055534,1
North Carolina St.,36.037694,-79.035584,36.0726354,-79.7919754,1
Memphis St.,35.1457312,-90.2229291,38.6270025,-90.1994042,0
Florida St.,30.44235995,-84.29747867,34.0522342,-118.2436849,0
Villanova,40.0367774,-75.34202332,29.4241219,-98.4936282,1
Villanova,40.0367774,-75.34202332,29.7604267,-95.3698028,1
Villanova,40.0367774,-75.34202332,38.0405837,-84.5037164,1
Villanova,40.0367774,-75.34202332,29.7604267,-95.3698028,0
Jacksonville,30.3537227,-81.60730605,38.9896967,-76.93776,0
Purdue,40.43195815,-86.92391089,38.2526647,-85.7584557,0
Dayton,39.73845985,-84.17919478,38.2526647,-85.7584557,0
UTEP,31.77570475,-106.5062875,38.9896967,-76.93776,1
Michigan,42.2942142,-83.71003894,29.4241219,-98.4936282,0
Michigan,42.2942142,-83.71003894,29.9510658,-90.0715323,0
Michigan,42.2942142,-83.71003894,44.977753,-93.2650108,0
Michigan,42.2942142,-83.71003894,47.6062095,-122.3320708,1
Michigan,42.2942142,-83.71003894,39.9525839,-75.1652215,0
Michigan,42.2942142,-83.71003894,45.5230622,-122.6764816,0
Michigan,42.2942142,-83.71003894,33.7489954,-84.3879824,0
Duke,36.0014258,-78.9382286,39.768403,-86.158068,1
Duke,36.0014258,-78.9382286,44.977753,-93.2650108,1
Duke,36.0014258,-78.9382286,27.7518284,-82.6267345,0
Duke,36.0014258,-78.9382286,35.2270869,-80.8431267,0
Duke,36.0014258,-78.9382286,44.977753,-93.2650108,1
Duke,36.0014258,-78.9382286,39.768403,-86.158068,1
Duke,36.0014258,-78.9382286,39.7392358,-104.990251,0
Duke,36.0014258,-78.9382286,32.7766642,-96.7969879,0
Duke,36.0014258,-78.9382286,38.6270025,-90.1994042,0
Duke,36.0014258,-78.9382286,39.0997265,-94.5785667,0
Duke,36.0014258,-78.9382286,39.768403,-86.158068,1
UCLA,34.068921,-118.4451811,39.768403,-86.158068,0
UCLA,34.068921,-118.4451811,47.6062095,-122.3320708,1
UCLA,34.068921,-118.4451811,39.768403,-86.158068,0
UCLA,34.068921,-118.4451811,32.715738,-117.1610838,1
UCLA,34.068921,-118.4451811,38.6270025,-90.1994042,1
UCLA,34.068921,-118.4451811,34.0522342,-118.2436849,1
UCLA,34.068921,-118.4451811,29.7604267,-95.3698028,1
UCLA,34.068921,-118.4451811,38.9896967,-76.93776,1
UCLA,34.068921,-118.4451811,38.2526647,-85.7584557,1
UCLA,34.068921,-118.4451811,34.0522342,-118.2436849,1
UCLA,34.068921,-118.4451811,38.2526647,-85.7584557,1
UCLA,34.068921,-118.4451811,45.5230622,-122.6764816,1
UCLA,34.068921,-118.4451811,39.0997265,-94.5785667,1
Loyola Chicago,41.9991492,-87.65737042,38.2526647,-85.7584557,1
Cincinnati,39.1318613,-84.51576196,38.2526647,-85.7584557,0
Cincinnati,39.1318613,-84.51576196,38.2526647,-85.7584557,1
Cincinnati,39.1318613,-84.51576196,39.0997265,-94.5785667,1
WVU,39.65404635,-79.96475355,38.2526647,-85.7584557,0
California,37.8718992,-122.2585399,37.6879241,-122.4702079,0
California,37.8718992,-122.2585399,38.2526647,-85.7584557,1
Seattle,47.60950425,-122.3187983,38.2526647,-85.7584557,0
Iowa,41.665901,-91.57318839,42.0450722,-87.6876969,0
San Francisco,37.7793266,-122.4514401,42.0450722,-87.6876969,1
San Francisco,37.7793266,-122.4514401,39.0997265,-94.5785667,1
La Salle,40.0374695,-75.15401786,39.0997265,-94.5785667,0
La Salle,40.0374695,-75.15401786,39.0997265,-94.5785667,1
St. John's,40.72194,-73.79556,47.6062095,-122.3320708,0
Kansas St.,39.1974437,-96.5847249,44.977753,-93.2650108,0
Bradley,40.6981131,-89.61551387,39.0997265,-94.5785667,0
Bradley,40.6981131,-89.61551387,40.7127837,-74.0059413,0
CCNY,40.81819805,-73.95100898,40.7127837,-74.0059413,1
Oklahoma A&M,41.107224,-78.733658,47.6062095,-122.3320708,0
Baylor,31.55043405,-97.11029056,39.768403,-86.158068,1
Baylor,31.55043405,-97.11029056,40.7127837,-74.0059413,0
Kentucky,38.0333742,-84.5017758,29.4241219,-98.4936282,1
Kentucky,38.0333742,-84.5017758,39.768403,-86.158068,0
Kentucky,38.0333742,-84.5017758,40.833989,-74.0970865,1
Kentucky,38.0333742,-84.5017758,38.6270025,-90.1994042,1
Kentucky,38.0333742,-84.5017758,32.715738,-117.1610838,0
Kentucky,38.0333742,-84.5017758,38.9896967,-76.93776,0
Kentucky,38.0333742,-84.5017758,38.2526647,-85.7584557,1
Kentucky,38.0333742,-84.5017758,44.977753,-93.2650108,1
Kentucky,38.0333742,-84.5017758,47.6062095,-122.3320708,1
Kentucky,38.0333742,-84.5017758,40.7127837,-74.0059413,1
Kentucky,38.0333742,-84.5017758,32.735687,-97.108066,0
Kentucky,38.0333742,-84.5017758,29.9510658,-90.0715323,1
Oklahoma,35.2521007,-97.47062658,39.0997265,-94.5785667,0
Oklahoma,35.2521007,-97.47062658,40.7127837,-74.0059413,0
Holy Cross,41.69281056,-86.25198899,40.7127837,-74.0059413,1
North Carolina,35.90503535,-79.04775327,29.9510658,-90.0715323,0
North Carolina,35.90503535,-79.04775327,33.4483771,-112.0740373,1
North Carolina,35.90503535,-79.04775327,29.7604267,-95.3698028,0
North Carolina,35.90503535,-79.04775327,42.331427,-83.0457538,1
North Carolina,35.90503535,-79.04775327,38.6270025,-90.1994042,1
North Carolina,35.90503535,-79.04775327,29.9510658,-90.0715323,1
North Carolina,35.90503535,-79.04775327,29.9510658,-90.0715323,1
North Carolina,35.90503535,-79.04775327,39.9525839,-75.1652215,0
North Carolina,35.90503535,-79.04775327,33.7489954,-84.3879824,0
North Carolina,35.90503535,-79.04775327,34.0522342,-118.2436849,0
North Carolina,35.90503535,-79.04775327,39.0997265,-94.578567,1
North Carolina,35.90503535,-79.04775327,40.7127837,-74.005941,0
NYU,40.72925325,-73.99625394,40.7127837,-74.005941,0
Oklahoma St.,36.1295801,-97.08853715,40.7127837,-74.0059413,1
Oklahoma St.,36.1295801,-97.08853715,40.7127837,-74.005941,1
Utah,40.7628137,-111.8368719,29.4241219,-98.4936282,0
Utah,40.7628137,-111.8368719,40.7127837,-74.005941,1
Georgetown,38.90893925,-77.07457962,38.0405837,-84.5037164,0
Georgetown,38.90893925,-77.07457962,47.6062095,-122.3320708,1
Georgetown,38.90893925,-77.07457962,29.9510658,-90.0715323,0
Georgetown,38.90893925,-77.07457962,40.7127837,-74.005941,0
Wyoming,41.31320005,-105.5803387,40.7127837,-74.005941,1
Dartmouth,43.70526735,-72.29052293,40.7127837,-74.005941,0
Dartmouth,43.70526735,-72.29052293,39.0997265,-94.5785667,0
Stanford,37.4274745,-122.169719,39.0997265,-94.5785667,1
Washington St.,46.7337724,-117.1497607,39.0997265,-94.5785667,0
Wisconsin,42.73085395,-90.49514463,39.768403,-86.158068,0
Wisconsin,42.73085395,-90.49514463,39.0997265,-94.5785667,1
Kansas,38.9534918,-95.2630888,29.9510658,-90.0715323,1
Kansas,38.9534918,-95.2630888,29.4241219,-98.4936282,1
Kansas,38.9534918,-95.2630888,29.9510658,-90.0715323,0
Kansas,38.9534918,-95.2630888,39.768403,-86.158068,0
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,1
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,47.6062095,-122.3320708,1
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,29.9510658,-90.071532,0
Indiana,41.70456775,-86.23822026,33.7489954,-84.3879824,0
Indiana,41.70456775,-86.23822026,29.9510658,-90.0715323,1
Indiana,41.70456775,-86.23822026,39.9525839,-75.1652215,1
Indiana,41.70456775,-86.23822026,39.9525839,-75.1652215,1
Indiana,41.70456775,-86.23822026,39.0997265,-94.5785667,1
Indiana,41.70456775,-86.23822026,39.0997265,-94.5785667,1
Ohio St.,40.0141905,-83.0309143,33.7489954,-84.3879824,0
Ohio St.,40.0141905,-83.0309143,38.2526647,-85.7584557,0
Ohio St.,40.0141905,-83.0309143,39.0997265,-94.5785667,0
Ohio St.,40.0141905,-83.0309143,37.6879241,-122.4702079,1
Ohio St.,40.0141905,-83.0309143,42.0450722,-87.6876969,0
Oregon,44.0445359,-123.0717345,42.0450722,-87.6876969,1
Indiana St.,39.4703727,-87.40819676,40.7607793,-111.8910474,0
,,,,,