YEAR,SEED,TEAM,TEAM ROUND,CURRENT ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,TEAM
2023,1,Alabama,0,0,26.7392,117.282,90.5425,73.5025,26.777,118.636,91.859,0.95,30.745,73.363,54.5,35,72,53.4,38.6,47.1,53.9,33.2,72.6,11.2,18.9,42.1,27.4,69.7,41.8,32.8,30.9,42.3,27.4,67,11.8,15.7,8.6,86.20689655,1.114,0.924,Alabama
2023,16,Grambling,0,0,-1.18431,100.462,101.646,66.79,0.02,101.121,101.101,0.501,10.368,66.613,48.7,35,63,49.9,41,27.8,50.4,30.6,70.1,12.8,21.8,44.4,31.2,66.6,45.4,42,39.5,54,29.9,69,8.1,20.5,-3.7,69.23076923,0.984,0.936,Grambling
2023,1,Alabama,0,0,26.7392,117.282,90.5425,73.5025,26.777,118.636,91.859,0.95,30.745,73.363,54.5,35,72,53.4,38.6,47.1,53.9,33.2,72.6,11.2,18.9,42.1,27.4,69.7,41.8,32.8,30.9,42.3,27.4,67,11.8,15.7,8.6,86.20689655,1.114,0.924,Alabama
2023,16,Howard,0,0,-6.03355,103.174,109.208,69.3724,-5.856,103.845,109.701,0.347,10.896,69.306,49.5,37,73,51.5,31.7,35.7,53.5,33.2,68.8,7.9,23.1,52.7,34.9,69.5,52.6,34.5,37.9,49,31.2,67,9.1,21.1,-7.2,55.55555556,1.017,1.039,Howard
2023,1,Houston,0,0,29.8771,120.705,90.8275,63.3631,29.444,121.719,92.275,0.96,20.628,63.19,54.2,35,72,53.7,27.4,37.3,53.2,38.1,72.1,17,15.1,42.6,27.5,69.6,42,34.1,45,54,27.9,62,7,22.2,7.1,93.10344828,1.179,0.866,Houston
2023,16,Fairleigh Dickinson,0,0,-13.0258,106.468,119.494,69.651,-12.993,107.24,120.233,0.212,5.771,69.492,51.8,34,75,51.5,28.2,37.9,51,30.6,70.9,5.8,16.5,57,37.4,76.1,56.6,35.6,40.4,57,29.1,69,10,21.8,-11.1,51.72413793,1.083,1.091,Fairleigh Dickinson
2023,1,Kansas,0,0,23.5717,116.121,92.5493,69.6867,20.844,115.656,94.812,0.908,34.259,69.37,52.8,35,73,52.6,30.2,34,61.3,29.2,71.3,10.7,17.2,46.4,31.6,72,46.8,31.9,35.8,45,28.7,71,7.3,20.4,9.5,83.33333333,1.075,0.96,Kansas
2023,16,Morehead State,0,0,-6.02961,101.314,107.344,63.7145,-1.959,103.269,105.228,0.446,11,63.889,47.4,36,73,49.8,35.9,38,54.9,27.5,75.5,9.2,19,50.1,32.7,75.4,49.8,27.9,31.3,42,24.5,73,9.1,15.8,-5.3,62.96296296,1.01,1.033,Morehead State
2023,1,Purdue,0,0,16.5061,106.009,89.5029,66.0917,24.427,119.296,94.869,0.933,26.794,64.178,53.9,33,75,52.3,36.3,38.2,60.5,38.4,77,10.4,17.3,47.4,30.5,73.1,46.8,18.1,34.5,51,23,62,8.5,15.4,6.5,82.75862069,1.135,0.963,Purdue
2023,16,Texas A&M-Corpus Christi,0,0,9.50993,119.752,110.242,69.9516,-1.091,106.519,107.61,0.471,10.157,69.681,48.7,37,80,50.9,35.4,35.9,56.2,32.1,72.4,4.7,18.5,55,33.2,68.4,52.8,40,41.5,57,27.6,68,8.9,21.5,-6,61.53846154,1.087,1.017,Texas A&M-Corpus Christi
2023,1,Purdue,0,0,16.5061,106.009,89.5029,66.0917,24.427,119.296,94.869,0.933,26.794,64.178,53.9,33,75,52.3,36.3,38.2,60.5,38.4,77,10.4,17.3,47.4,30.5,73.1,46.8,18.1,34.5,51,23,62,8.5,15.4,6.5,82.75862069,1.135,0.963,Purdue
2023,16,NC-Asheville,0,0,15.5265,113.024,97.4974,66.4308,0.015,104.138,104.123,0.5,11.388,68.54,51.7,40,69,54.5,40.3,36.8,50.6,25.8,70.5,10.1,20.6,49.3,30.4,72,48,28,33.7,46,29.5,74,11.2,18.6,-1.6,75.86206897,1.045,0.994,NC-Asheville
2023,2,UCLA,0,0,1.80213,105.111,103.309,68.752,24.557,114.897,90.34,0.941,25.239,66.359,50.9,35,70,51.6,25.5,28.7,51.8,34.1,71.7,12.1,15.3,46.9,30.7,70.5,46.5,26.8,39.7,52,28.3,66,6.3,24.3,6.8,86.20689655,1.103,0.893,UCLA
2023,15,Youngstown State,0,0,4.60011,114.751,110.151,68.218,2.386,113.617,111.231,0.561,7.097,68.28,55,38,78,55.5,29.4,34.3,49.3,31,72.3,6.6,15.6,52.2,35.6,69.8,52.6,25.3,33.7,49,27.7,69,5.9,18.4,-4.2,72.4137931,1.162,1.039,Youngstown State
2023,2,Texas,0,0,17.6051,115.529,97.9242,66.2984,21.048,117.803,96.755,0.906,31.448,69.283,54.5,35,75,53.6,31.3,35.4,57,29,70.8,9.9,16.7,48.3,33.2,72.9,48.8,35.3,35.9,48,29.2,71,8.2,22.6,5.8,75.86206897,1.108,0.963,Texas
2023,15,Vermont,0,0,4.17141,109.674,105.503,64.999,6.852,111.211,104.359,0.675,14.204,65.024,54.7,36,70,54.5,28.7,43.5,52.6,19,77.7,7.5,14.7,50.8,34.5,72.4,51.2,27.3,35.8,45,22.3,81,8.5,16.5,-3.5,65.51724138,1.075,1.017,Vermont
2023,2,Baylor,0,0,21.548,122.559,101.011,66.6837,22.802,124.107,101.305,0.912,34.774,67.043,51.5,37,75,53.1,37.6,44.7,56.7,35.6,69.9,7,18,53,31.9,70.8,51,31.3,38.1,60,30.1,64,9,19.7,6.4,73.33333333,1.14,1.022,Baylor
2023,15,Eastern Washington,0,0,4.40267,111.951,107.549,68.8204,3.728,112.283,108.555,0.596,12.369,68.725,58.4,36,76,56.2,31.8,43.8,55.5,28.2,74.1,8.7,20,50.4,32.4,75.9,49.6,30.3,43.7,50,25.9,72,6,16,-2.8,70,1.096,1.044,Eastern Washington
2023,2,Arizona,0,0,21.6199,120.199,98.5795,72.7357,22.367,120.882,98.515,0.913,23.53,72.758,56.6,37,72,56.4,37,38.6,66.4,31.9,74.2,8.8,18.4,46.2,32.8,69.6,47.3,25.4,38.7,49,25.8,68,9,17.1,5.3,82.75862069,1.139,0.974,Arizona
2023,15,Colgate,0,0,4.84828,112.924,108.075,67.7027,5.576,113.187,107.611,0.641,9.36,67.508,56.4,41,66,58,27.1,34.6,60.1,26,75.5,7.1,15.4,51.1,35.8,68.6,52.1,20.7,36.2,53,24.5,74,8.9,17.8,-3.2,73.33333333,1.14,1.022,Colgate
2023,3,Kansas State,0,0,18.8429,112.8,93.9571,69.9722,17.55,112.273,94.723,0.876,28.903,69.695,51.4,34,75,51.1,38.2,35.6,64.4,30.8,70.4,7.4,19.7,48.9,29.1,68.1,47,37.2,36.8,56,29.6,69,10.6,21.1,5,75.86206897,1.052,0.95,Kansas State
2023,14,Furman,0,0,8.50969,114.533,106.023,68.8747,9.057,115.04,105.983,0.72,10.671,68.738,59.1,35,74,55.9,32.1,46.2,60.1,30.4,73.5,8.3,16.4,51,34.2,69.6,51.1,32.2,34.9,44,26.5,70,8.5,18.6,-1.9,75,1.153,1.024,Furman
2023,3,Marquette,0,0,21.8046,121.052,99.2469,69.0977,20.829,121.136,100.307,0.898,26.563,69.25,59.3,35,71,56.8,26.9,40.9,59,26.9,68.9,9.2,15.4,51,35.4,69.5,51.8,29.3,37.8,59,31.1,73,9.6,22.9,5.5,80,1.142,1.001,Marquette
2023,14,UC Irvine,0,0,27.1851,115.914,88.7292,66.2469,6.906,108.731,101.825,0.68,14.101,69.581,49.8,37,74,51.8,29.3,32,51.7,27.4,73.8,5.9,17.2,44.6,32.6,72.9,46.2,38.1,35.8,50,26.2,73,7.9,17.5,-3.6,64.28571429,1.053,0.98,UC Irvine
2023,3,Tennessee,0,0,22.3505,117.865,95.5146,69.7913,24.589,112.851,88.262,0.944,26.135,65.824,50.9,32,71,49.9,31.1,40.1,66.7,37.3,72.3,12.3,18,43.6,25.1,72.3,41.1,35.8,41.7,49,27.7,63,8.7,23.2,3.5,73.33333333,1.079,0.851,Tennessee
2023,14,Yale,0,0,11.696,110.76,99.064,66.2919,9.584,109.679,100.095,0.741,13.304,66.072,53.1,35,70,52.9,29.4,34.6,50,28.7,77.4,11.2,16.3,45.7,32.8,69.2,47.1,33.6,40,51,22.6,71,7.2,18.8,-1.7,70.83333333,1.092,0.936,Yale
2023,3,Gonzaga,0,0,22.2546,123.408,101.154,70.5527,22.864,125.07,102.206,0.911,26.4,70.378,58.9,37,70,57.9,33.8,32.2,49.4,30.9,74.6,8.4,14.8,51.9,35.2,73.6,52.2,27.9,38.9,46,25.4,69,5.7,18.8,6,82.75862069,1.191,1.035,Gonzaga
2023,14,Iona,0,0,11.3769,110.225,98.8478,69.3771,11.779,110.433,98.654,0.785,10.86,69.181,51.2,35,72,51.7,29.1,31.9,53.1,30.3,69.5,15.5,15.4,46.6,28.7,70.2,45.4,32.7,34.4,52,30.5,70,6.7,21.1,-1.6,75.86206897,1.089,0.934,Iona
2023,4,Indiana,0,0,17.1649,115.372,98.2073,68.436,15.78,115.118,99.338,0.845,30.567,68.33,53.2,38,72,54.1,30.2,26.8,54,28.6,72.5,13.5,17.5,46.3,33,69.8,47.5,30.4,38,48,27.5,71,7.2,16.5,2.8,66.66666667,1.094,0.993,Indiana
2023,13,Toledo,0,0,6.72336,108.38,101.657,69.8659,10.819,120.943,110.124,0.746,10.946,69.886,54.2,40,77,56.3,34.6,35.5,49,30.2,70,7.1,13.9,51.3,35.8,73.3,52.2,27,37.7,49,30,70,8.2,18.3,-0.6,79.31034483,1.201,1.065,Toledo
2023,4,Connecticut,0,0,24.7194,119.827,95.108,67.2305,23.283,120.037,96.754,0.923,26.273,67.416,52.6,36,75,53,33.1,41.6,62.4,39.1,74.1,12.9,18.7,45.7,29.8,73.8,45.4,40,28.6,41,25.9,61,8.7,19.7,4.1,75.86206897,1.142,0.944,Connecticut
2023,13,Utah Valley,0,0,9.03978,106.346,97.3065,69.7482,8.13,105.668,97.538,0.715,17.783,69.507,51.3,31,74.3,49.9,36,33.7,55.2,28.7,70.3,14.7,19.1,42.5,31.5,68.9,44.1,29.5,33.7,44.7,29.7,71,7.8,16.6,0.3,73.07692308,1.024,0.96,Utah Valley
2023,4,Xavier,0,0,19.0347,119.244,100.209,71.1621,19.018,119.793,100.775,0.88,27.226,71.121,54.4,40,72,56,30.7,31.7,66.4,31,74.5,8.2,17.9,48.6,36.1,70.5,50.5,26.8,33.9,55,25.5,69,9.7,16.9,3.5,72.4137931,1.124,1.02,Xavier
2023,13,Southern Miss,0,0,8.11456,108.739,100.624,68.7166,6.946,108.627,101.681,0.681,13.772,68.493,52.7,33,72,51.5,32.6,37.4,55.5,30.9,71,7.5,17.3,47,32,71.8,47.3,29.9,38.3,53,29,69,6.7,20,0.3,78.57142857,1.073,0.973,Southern Miss
2023,4,Virginia,0,0,15.7121,111.218,95.5058,61.9325,15.041,111.374,96.333,0.841,22.546,61.681,49.5,36,70,51.1,34.7,36.6,66.1,25.7,75.3,13.3,13.8,46.7,34.6,74.8,48.7,24.4,39.7,53,24.7,74,11.2,19.8,3.5,78.57142857,1.08,0.962,Virginia
2023,13,Liberty,0,0,15.2644,112.982,97.7179,64.8784,15.325,112.795,97.47,0.843,12.878,64.442,57.4,37,73,56.2,26.1,49.1,58.9,25.4,79.8,6.3,16.3,47,34.9,73,49,28,37,43,20.2,75,9.1,19.5,-1.1,75.86206897,1.121,0.944,Liberty
2023,5,San Diego State,0,0,19.4096,113.753,94.3437,66.5471,21.47,115.668,94.198,0.914,25.936,66.554,50.5,35,73,51.2,33.9,35.3,51.6,31.3,74.5,10.2,17.9,51.3,29.5,74.4,48.4,30.7,40.7,46,25.5,69,7.7,20,4.9,78.57142857,1.069,0.963,San Diego State
2023,12,Bradley,0,0,10.7009,108.075,97.3737,65.7153,10.94,108.843,97.903,0.772,15.487,65.506,52.8,37,66,53.6,26.7,39.4,51.1,29.6,75.8,12.2,18.4,45.2,31.4,73.9,45.9,31.3,38.5,49,24.2,70,6.7,19.9,-0.8,73.33333333,1.069,0.927,Bradley
2023,5,St. Mary's (CA),0,0,18.3722,113.159,94.7868,70.4073,23.03,114.437,91.407,0.93,20.98,62.251,51.4,37,70,52.8,30.2,37.4,48.2,33.3,78.3,10.2,16.3,44.8,32.2,75.6,45.9,29.9,32,35,21.7,67,9.7,19.3,3.6,80,1.109,0.918,St. Mary's (CA)
2023,12,VCU,0,0,11.3505,105.854,94.5036,68.5651,10.525,105.739,95.214,0.77,14.608,68.521,52,33,71,51.3,42.2,32.6,51.8,29.1,70.1,12.3,20,46.2,32.7,69.8,47.2,30.4,34.6,51,29.9,71,9.1,24.8,0.1,76.66666667,1.029,0.912,VCU
2023,5,Miami (FLA.),0,0,15.7892,119.087,103.298,69.2017,15.571,119.468,103.897,0.833,21.262,68.964,54.8,37,78,55,30.2,34.6,51.8,32,70.6,8.6,16.4,51.9,32.7,74.8,50.9,23.4,37.2,53,29.4,68,8.2,18.5,3.4,79.31034483,1.149,1.031,Miami (FLA.)
2023,12,College of Charleston,0,0,11.8653,112.888,101.022,71.2138,11.924,112.618,100.694,0.784,8.587,71.291,53.1,34,74,52.2,32,47.2,49.5,35.4,74.6,7.8,17,49.1,31,67.8,48.3,25.1,32.2,45,25.4,65,10.7,19.1,1.5,90,1.134,0.95,College of Charleston
2023,5,TCU,0,0,26.0531,112.618,86.5648,65.8885,17.788,113.68,95.892,0.876,29.867,70.252,53.6,29,70,50.7,34.6,29.2,59.1,32.5,69.3,12.3,17,48.7,30.7,70,47.8,29.2,34.7,56,30.7,68,9.7,22.3,2.1,65.51724138,1.065,0.947,TCU
2023,12,Oral Roberts,0,0,12.9316,114.92,101.988,67.0361,10.725,114.266,103.541,0.756,15.05,70.683,56.3,37,78,56.2,24.1,45.9,47.6,23.8,73.3,13.7,13.4,46.7,34.8,71.3,49,22.1,40.3,47,26.7,76,8.2,17.6,1.9,85.18518519,1.159,0.991,Oral Roberts
2023,6,Iowa State,0,0,17.2007,109.399,92.1982,64.4187,16.831,110.087,93.256,0.871,32.827,64.259,50.6,34,67,50.5,27.6,34.2,55,32.7,73,11,19.2,49.7,33.1,71.9,49.7,40.2,46.3,58,27,67,7.9,25.4,1.3,58.62068966,1.028,0.938,Iowa State
2023,11,Memphis,0,0,15.5768,113.996,98.4192,72.1399,16.897,115.596,98.699,0.86,24.424,71.732,54,34,74,53.1,35.4,28,53.4,31.1,68.3,13.3,18.5,47.9,31.6,74.8,47.7,35.3,42.9,56,31.7,69,8.6,20.9,3.5,75.86206897,1.082,0.991,Memphis
2023,6,Creighton,0,0,20.7595,114.807,94.048,67.7787,19.496,115.081,95.585,0.894,29.568,67.636,55,35,76,53.8,27.9,41.8,57,25.5,77.1,9.8,16.6,45.9,34,72.5,47.4,19.7,29.2,47,22.9,75,8.2,14.7,1.3,62.06896552,1.085,0.974,Creighton
2023,11,USC,0,0,16.3791,113.781,97.4024,68.5274,14.855,113.987,99.132,0.833,25.145,68.391,51.7,34,74,51.7,32.7,32.4,52.6,28.3,67.4,13.9,18,42.3,32.9,72.6,44.9,28.5,36.8,56,32.6,72,8,18.5,2.6,72.4137931,1.06,0.967,USC
2023,6,Northwestern,0,0,12.6324,115.662,103.03,70.7834,14.306,110.805,96.499,0.831,25.739,65.159,47.3,32,75,47.5,30.4,41.2,54.7,28.1,72.4,13.5,15,46.5,33.9,69.1,48.4,30.8,42.4,62,27.6,72,10.5,21.7,2.1,68.96551724,1.034,0.951,Northwestern
2023,11,West Virginia,0,0,19.0124,117.613,98.601,68.8787,18.919,118.259,99.34,0.881,34.057,68.698,51,35,73,51.7,40.8,36.2,50.6,34.1,71.1,8.6,18.6,50.5,33.9,72.7,50.6,40.3,34.6,50,28.9,66,6.3,20.8,1.2,56.66666667,1.09,1.011,West Virginia
2023,6,Northwestern,0,0,12.6324,115.662,103.03,70.7834,14.306,110.805,96.499,0.831,25.739,65.159,47.3,32,75,47.5,30.4,41.2,54.7,28.1,72.4,13.5,15,46.5,33.9,69.1,48.4,30.8,42.4,62,27.6,72,10.5,21.7,2.1,68.96551724,1.034,0.951,Northwestern
2023,11,Mississippi State,0,0,15.0465,105.881,90.8346,64.117,12.37,105.388,93.018,0.808,25.853,63.898,51.1,27,65,47.5,34.5,35.6,60.6,34.2,70.9,11.3,19,45.6,30.3,72.7,45.5,28,43,59,29.1,66,7.8,22.7,1,66.66666667,1.007,0.911,Mississippi State
2023,6,Kentucky,0,0,18.3904,118.709,100.318,65.7397,16.962,118.369,101.407,0.856,28.371,65.688,50.2,37,70,51.7,30.7,29.8,57.1,38.2,74.8,10.4,17.1,48.6,32.9,74.4,48.9,29.2,34.9,48,25.2,62,5.3,17.2,2.5,68.96551724,1.119,1.003,Kentucky
2023,11,Arizona State,0,0,12.5197,108.888,96.3679,68.595,10.397,108.198,97.801,0.762,23.06,68.479,49.1,32,70,48.4,29.7,39.1,56.7,29.3,69.1,14.1,16.9,43,33.7,69.5,46,31.9,40,55,30.9,71,8.5,20.4,1.2,68.96551724,1.017,0.959,Arizona State
2023,6,Kentucky,0,0,18.3904,118.709,100.318,65.7397,16.962,118.369,101.407,0.856,28.371,65.688,50.2,37,70,51.7,30.7,29.8,57.1,38.2,74.8,10.4,17.1,48.6,32.9,74.4,48.9,29.2,34.9,48,25.2,62,5.3,17.2,2.5,68.96551724,1.119,1.003,Kentucky
2023,11,Wisconsin,0,0,11.9095,106.776,94.8667,63.1695,10.485,106.753,96.268,0.767,29.565,62.885,45.8,36,66,48.8,24.2,41.3,50.3,21.7,75,4.2,13.4,50.3,32.3,69.6,49.6,26.8,35.8,42,25,78,10.7,18.4,0,57.14285714,1.004,0.981,Wisconsin
2023,7,Maryland,0,0,19.5146,115.632,96.1174,65.1433,16.627,114.865,98.238,0.858,25.75,65.134,53.2,32,74,51.5,34.5,37.1,45.8,30.2,72.8,10,16.3,47,31.4,72.5,47.1,27.6,31.7,47,27.2,70,9.5,18.3,1.8,68.96551724,1.092,0.963,Maryland
2023,10,Boise State,0,0,17.4342,110.755,93.3208,66.9834,15.776,110.677,94.901,0.854,22.346,66.888,50.7,36,74,51.8,30.1,37.9,42.6,26.8,76.2,8.4,17,47,30.2,68.2,46.4,27.2,36.4,44,23.8,73,9.2,17.7,3,75.86206897,1.057,0.936,Boise State
2023,7,Duke,0,0,16.3823,112.56,96.1778,65.4846,15.705,112.495,96.79,0.849,22.975,65.396,51.1,33,77,50.5,29.8,35.8,56.6,37.2,73.9,12.4,18.6,46.7,31,75.4,46.6,22.7,34.7,48,26.1,63,9.7,16.9,2.3,73.33333333,1.091,0.968,Duke
2023,10,Nevada,0,0,13.7529,114.239,100.486,69.3769,12.963,112.015,99.052,0.804,24.416,66.236,50.7,34,80,51.1,38.4,37.8,57.1,22.5,75,9.5,15.3,48.8,33.1,74,49.1,32.3,42.2,53,25,78,8.1,19.2,2.7,72.4137931,1.068,0.993,Nevada
2023,7,Michigan State,0,0,17.3702,113.654,96.284,65.2869,16.244,113.722,97.478,0.855,32.275,65.075,47.7,39,77,51.4,25.2,33.1,58,27.5,74.7,7.8,16.6,48.8,30.4,71.7,47.6,29.1,38.3,52,25.3,73,9.1,15,2.4,62.06896552,1.055,1.008,Michigan State
2023,10,Auburn,0,0,16.5689,111.124,94.5549,68.113,16.693,111.928,95.235,0.865,26.639,67.996,51,30,71,49,34.9,35.5,55.1,34,68.5,14.5,18.3,45.8,28.4,70.3,44.7,38.7,34.1,48,31.5,66,8.6,19.2,1.3,65.51724138,1.048,0.957,Auburn
2023,7,Texas A&M,0,0,-0.76102,106.508,107.269,69.8659,18.866,116.46,97.594,0.884,23.569,66.293,49.9,33,76,49.6,46.1,34.7,53.7,36.9,70,7.9,18.2,46.6,32.8,70.3,47.8,36.1,45.6,61,30,63,10.8,21,2.5,73.33333333,1.097,0.981,Texas A&M
2023,10,North Carolina State,0,0,14.5176,109.917,95.3989,65.1771,13.455,114.828,101.373,0.807,21.503,69.505,51.2,35,72,51.6,25.8,37.7,45,31,73.2,12.3,13.6,50.3,31.4,72.8,49.3,34.1,32.8,44,26.8,69,6.4,19.1,1.1,70.96774194,1.116,1.001,North Carolina State
2023,8,Illinois,0,0,16.1781,111.626,95.4483,69.7645,13.19,110.237,97.047,0.812,25.292,69.983,55.7,31,68,51.8,33,42.9,46.8,32.5,73.6,14.1,18.8,44.5,33.2,70.6,46.2,28.4,30.6,45,26.4,68,7.9,19,0.7,65.51724138,1.062,0.938,Illinois
2023,9,Pittsburgh,0,0,17.088,117.255,100.167,67.461,11.664,114.337,102.673,0.775,19.358,67.044,52.5,36,77,53.1,30.8,45.1,55.5,31.1,72.1,12.2,17,47.3,32.6,69.5,47.9,29.5,39.6,52,27.9,69,10.5,17,0.7,72.4137931,1.114,1.005,Pittsburgh
2023,8,Arkansas,0,0,19.5818,113.117,93.5349,69.8505,18.641,112.921,94.28,0.888,29.106,69.69,54.2,32,69,52.5,38.3,28,49.3,30,72.4,13.5,18.4,45.9,31,71,46.1,37.7,30.6,44,27.6,70,6.8,20.5,1.2,63.33333333,1.06,0.944,Arkansas
2023,9,Florida Atlantic,0,0,16.5405,114.518,97.9773,68.7273,14.552,113.6,99.048,0.829,13.885,68.405,53.6,37,71,54.8,29.6,44.3,52.1,30.4,75.4,6.5,16.7,44.8,33.2,73.7,46.5,27.4,32.9,34,24.6,70,7.6,18.5,3.2,88.88888889,1.125,0.949,Florida Atlantic
2023,8,Providence,0,0,24.4788,119.113,94.6346,64.5546,15.666,116.745,101.079,0.84,24.686,67.484,51.3,36,75,52,36.9,31,53.5,35.3,74,11.9,17.1,48.6,32.2,74.3,48.5,25.5,33.1,47,26,65,9.6,16.6,2.3,72.4137931,1.122,0.998,Providence
2023,9,Rutgers,0,0,23.0044,114.11,91.1059,62.037,14.422,105.67,91.248,0.844,25.666,66.138,47.7,32,71,48,28.4,30.5,59,31.5,73,12.5,17.1,45.7,29.7,69.1,45.2,26.7,43.1,55,27,69,9.3,21.8,-0.2,62.06896552,1.025,0.893,Rutgers
2023,8,Iowa,0,0,16.3429,121.113,104.77,70.1274,15.552,121.665,106.113,0.828,28.02,70.028,52.3,35,74,52.2,33,37.1,58.3,31.7,72.5,8.5,14.2,52.3,35.7,74.5,52.7,23.9,31.8,50,27.5,68,8.7,18.5,1.3,63.33333333,1.14,1.048,Iowa
2023,9,Missouri,0,0,13.3083,119.482,106.174,69.5571,13.446,119.459,106.013,0.798,26.071,69.691,55.9,37,75,55.4,30.9,43.5,57.9,27.5,61.9,9.1,16.4,51.1,35.4,74.1,51.9,35.8,43.6,57,38.1,73,6.9,24.5,2.8,72.4137931,1.126,1.05,Missouri
