YEAR,SEED,TEAM,ROUND,ID
2023,1,Purdue,0,1
2022,1,Arizona,16,2
2018,1,Virginia,64,3
2016,1,Oregon,8,4
2012,1,Michigan St.,16,5
2010,1,Syracuse,16,6
2021,2,Alabama,16,7
2018,2,Cincinnati,32,8
2016,2,Xavier,32,9
2014,2,Villanova,32,10
2013,2,Miami FL,16,11
2013,2,Georgetown,64,12
2011,2,Notre Dame,32,13
2010,2,Kansas St.,8,14
2023,2,Marquette,0,15
2023,3,Kansas State,0,16
2022,3,Texas Tech,16,17
2022,3,Wisconsin,32,18
2021,3,Arkansas,8,19
2019,3,Texas Tech,2,20
2019,3,Houston,16,21
2018,3,Michigan,2,22
2018,3,Texas Tech,8,23
2018,3,Tennessee,32,24
2017,3,Baylor,16,25
2017,3,Florida St.,32,26
2016,3,Miami FL,16,27
2016,3,Texas A&M,16,28
2016,3,West Virginia,64,29
2015,3,Notre Dame,8,30
2015,3,Baylor,64,31
2014,3,Iowa St.,16,32
2014,3,Creighton,32,33
2013,3,Marquette,8,34
2013,3,New Mexico,64,35
2012,3,Florida St.,32,36
2012,3,Georgetown,32,37
2011,3,Connecticut,1,38
2010,3,Baylor,8,39
2010,3,New Mexico,32,40
2010,3,Pittsburgh,32,41
2009,3,Missouri,8,42
2009,3,Syracuse,16,43
2008,3,Xavier,8,44
2008,3,Wisconsin,16,45
2023,3,Xavier,0,46
2023,4,Connecticut,0,47
2022,4,Providence,16,48
2021,4,Oklahoma St.,32,49
2021,4,Purdue,64,50
2018,4,Auburn,32,51
2017,4,Florida,8,52
2017,4,Butler,16,53
2015,4,Georgetown,32,54
2015,4,Maryland,32,55
2014,4,San Diego St.,16,56
2013,4,Saint Louis,32,57
2013,4,Kansas St.,64,58
2012,4,Indiana,16,59
2011,4,Texas,32,60
2011,4,Wisconsin,16,61
2011,4,Louisville,64,62
2010,4,Maryland,32,63
2010,4,Wisconsin,32,64
2010,4,Vanderbilt,64,65
2009,4,Xavier,16,66
2009,4,Washington,32,67
2008,4,Connecticut,64,68
2008,4,Vanderbilt,64,69
2023,5,St. Mary's (CA),0,70
2023,5,Miami (FLA.),0,71
2022,5,Saint Mary's,32,72
2022,5,Iowa,64,73
2021,5,Colorado,32,74
2019,5,Marquette,64,75
2019,5,Wisconsin,64,76
2018,5,Clemson,16,77
2018,5,Ohio St.,32,78
2017,5,Notre Dame,32,79
2017,5,Minnesota,64,80
2015,5,West Virginia,16,81
2015,5,Arkansas,32,82
2015,5,Northern Iowa,32,83
2014,5,Saint Louis,32,84
2014,5,Cincinnati,64,85
2014,5,Oklahoma,64,86
2013,5,VCU,32,87
2013,5,Oklahoma St.,64,88
2012,5,New Mexico,32,89
2012,5,Temple,64,90
2012,5,Wichita St.,64,91
2011,5,Arizona,8,92
2011,5,West Virginia,32,93
2011,5,Vanderbilt,64,94
2010,5,Texas A&M,32,95
2010,5,Temple,64,96
2009,5,Florida St.,64,97
2009,5,Illinois,64,98
2009,5,Utah,64,99
2008,5,Notre Dame,32,100
2008,5,Clemson,64,101
2008,5,Drake,64,102
2023,6,Iowa State,0,103
2022,6,Colorado St.,64,104
2022,6,LSU,64,105
2021,6,USC,8,106
2021,6,BYU,64,107
2021,6,San Diego St.,64,108
2019,6,Buffalo,32,109
2019,6,Maryland,32,110
2019,6,Iowa St.,64,111
2018,6,Houston,32,112
2018,6,TCU,64,113
2017,6,Cincinnati,32,114
2017,6,SMU,64,115
2016,6,Seton Hall,64,116
2016,6,Texas,64,117
2015,6,Xavier,16,118
2015,6,Butler,32,119
2015,6,Providence,64,120
2014,6,Massachusetts,64,121
2013,6,Butler,32,122
2012,6,Murray St.,32,123
2012,6,San Diego St.,64,124
2012,6,UNLV,64,125
2011,6,Cincinnati,32,126
2011,6,St. John's,64,127
2011,6,Xavier,64,128
2010,6,Xavier,16,129
2010,6,Marquette,64,130
2010,6,Notre Dame,64,131
2009,6,UCLA,32,132
2009,6,West Virginia,64,133
2008,6,Oklahoma,32,134
2008,6,Purdue,32,135